Course,Availability
CS 112,Fall
CS 116,Winter
CS 117,Fall
CS 121,Fall+Winter+Spring
CS 122A,Fall+Winter+Spring
CS 122B,Fall+Spring
CS 122C,Winter
CS 122D,Spring
CS 125,Winter
CS 131,Spring
CS 132,Fall+Winter+Spring
CS 133,Winter
CS 134,Fall
CS 137,Winter
CS 141,Fall+Winter
CS 142A,Spring
CS 142B,Spring
CS 143A,Fall+Winter+Spring
CS 143B,Winter+Spring
CS 145,Winter+Spring
CS 146,Spring
CS 147,Fall+Spring
CS 151,Fall
CS 152,Winter
CS 154,Winter
CS 161,Fall+Winter+Spring
CS 162,Spring
CS 163,Winter
CS 164,Fall
CS 165,Spring
CS 166,Winter
CS 167,Winter
CS 169,Fall
CS 171,Fall+Winter+Spring
CS 172B,Spring
CS 172C,Spring
CS 175,Fall+Winter+Spring
CS 177,Winter
CS 178,Fall+Winter+Spring
CS 179,Spring
CS 180A,Winter
CS 180B,Spring
CS 183,Fall
CS 184A,Fall
CS 184C,Spring
CS 189,Spring
CS 200S,Fall+Winter+Spring
CS 201,Fall
CS 201P,Spring
CS 202,Winter
CS 203,Spring
CS 205,Spring
CS 206,Spring
CS 211P,Spring
CS 216,Winter
CS 220P,Fall
CS 221,Winter
CS 222,Winter
CS 222P,Winter
CS 223,Fall
CS 224P,Fall
CS 230,Winter
CS 230P,Winter
CS 231P,Fall
CS 232,Fall
CS 232P,Spring
CS 233,Winter
CS 237,Spring
CS 238,Spring
CS 238P,Fall
CS 241,Winter
CS 242P,Winter
CS 244,Spring
CS 247,Spring
CS 250A,Winter
CS 250B,Fall
CS 250P,Fall
CS 253P,Fall
CS 256,Fall
CS 259S,Fall
CS 260,Winter
CS 260P,Fall+Spring
CS 261,Spring
CS 261P,Winter
CS 263,Winter
CS 265,Winter
CS 266,Fall
CS 268,Fall
CS 269S,Fall+Winter+Spring
CS 271,Winter
CS 271P,Fall
CS 272,Spring
CS 273A,Fall
CS 273P,Winter
CS 274A,Winter
CS 274B,Spring
CS 274C,Spring
CS 274D,Spring
CS 274E,Fall
CS 274P,Spring
CS 276,Winter
CS 277,Winter
CS 278,Spring
CS 280,Fall
CS 284A,Fall
CS 284C,Spring
CS 295,Fall+Winter+Spring
CS 295P,Winter
CS 296P,Spring
CS 297P,Spring
INF 43,Fall+Winter+Spring
INF H81,Fall
INF 101,Fall+Winter
INF 113,Winter+Spring
INF 115,Fall+Spring
INF 117,Fall+Spring
INF 121,Fall+Spring
INF 122,Winter
INF 124,Winter
INF 131,Fall+Winter+Spring
INF 132,Winter+Spring
INF 133,Fall+Winter
INF 134,Spring
INF 141,Fall+Winter+Spring
INF 143,Spring
INF 148,Winter
INF 151,Fall
INF 153,Spring
INF 161,Fall+Winter
INF 162W,Winter
INF 163,Spring
INF 164,Fall+Winter+Spring
INF 171,Fall+Winter
INF 172,Winter
INF 173,Spring
INF 174,Spring
INF 191A,Fall+Winter
INF 191B,Winter+Spring
INF 201,Fall
INF 203,Winter
INF 205,Spring
INF 207S,Winter+Spring
INF 209S,Fall+Winter+Spring
INF 232,Winter
INF 244,Spring
INF 251,Spring
INF 261,Fall
INF 265,Winter
INF 280,Fall
INF 281,Fall
INF 282,Fall
INF 283,Winter
INF 284,Winter
INF 285,Spring
INF 287,Spring
INF 289,Winter+Spring
INF 295,Winter
ICS 3,Fall+Spring
ICS 4,Winter
ICS 5,Fall+Spring
ICS 6B,Fall+Winter+Spring
ICS 6D,Fall+Winter+Spring
ICS 6N,Winter+Spring
ICS 9,Fall
ICS 10,Winter+Spring
ICS 11,Spring
ICS 31,Fall+Winter+Spring
ICS 32,Fall+Winter+Spring
ICS 32A,Fall
ICS 33,Fall+Winter+Spring
ICS 45C,Fall+Winter+Spring
ICS 45J,Fall+Winter
ICS 46,Fall+Winter+Spring
ICS 51,Fall+Winter+Spring
ICS 53,Fall+Winter+Spring
ICS 60,Fall+Spring
ICS 61,Winter
ICS 80,Fall+Winter
ICS 90,Fall
ICS 139W,Fall+Winter+Spring
ICS 161,Spring
ICS 163,Fall
ICS 166,Spring
ICS 167,Winter
ICS 168,Spring
ICS 169A,Fall
ICS 169B,Winter
ICS 193,Fall+Winter+Spring
ICS H197,Fall
ICS 398A,Fall
STATS 5,Winter
STATS 6,Fall+Winter
STATS 7,Fall+Winter+Spring
STATS 8,Fall+Winter+Spring
STATS 67,Fall+Winter+Spring
STATS 68,Spring
STATS 110,Fall
STATS 111,Winter
STATS 112,Spring
STATS 115,Winter
STATS 120A,Fall
STATS 120B,Winter
STATS 120C,Spring
STATS 170A,Winter
STATS 170B,Spring
STATS 200A,Fall
STATS 200AP,Fall
STATS 200B,Winter
STATS 200BP,Winter
STATS 200C,Spring
STATS 201,Fall
STATS 202,Winter
STATS 203,Spring
STATS 205,Winter
STATS 205P,Spring
STATS 210,Fall
STATS 210B,Winter
STATS 210C,Spring
STATS 210P,Winter
STATS 211,Winter
STATS 211P,Spring
STATS 212,Spring
STATS 220A,Winter
STATS 220B,Spring
STATS 225,Spring
STATS 230,Fall
STATS 240P,Spring
STATS 265,Spring
STATS 270,Fall
STATS 275,Spring
STATS 280,Fall+Winter+Spring
STATS 281A,Fall
STATS 281B,Winter
STATS 281C,Spring
STATS 295,Winter+Spring
